,Region,Country,IncomeGroup,IDA Status,Financial closure year,Financial closure Month,Project name,RelatedNames,Type_of_PPI,Subtype of PPI,Project status,dateStatusUpdated,Primary_sector,Subsector,Segment,Location,ContractPeriod,GovtGrantingContract,DirectGovtSupport,DirectGovtSupportValue,InDirectGovtSupport,InDirectGovtSupportValue,Total Equity,InvestmentYear,PercentPrivate,FeesToGovernment,PhysicalAssets,TotalInvestment,CapacityType,Capacity,Technology,RelatedProjects,BidCriteria,AwardMethod,NumberOfBids,Sponsors,Main Revenue Source,Other Revenue Source,MultiLateralSupport,BiLateralSupport,TotalDebtFunding,DebtEquityGrantRatio,ProjectBanks,UnsolicitedProposal,PublicDisclosure,State_Abv,State_Code
2862,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,December,Ourinhos Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Active,12/1/2005,Energy,Electricity,Electricity generation,State of Parana,35,National,Not Available,,Not Available,,,2005,100,0.35,49.4,49.75,MW,44,"Hydro, Small (<50MW)",,Highest price paid to government,Competitive bidding,Not Available,Votorantim (Not Available / 100% / Brazil),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,,Yes,No,WA,37
2863,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,December,Pacific Hydro Wind Farm Project,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,State of Paraiba,Not Available,National,Not Available,,Not Available,,,2005,100,Not Available,22.7,22.7,MW,10.2,Wind,,,License scheme,,Pacific Hydro Pty Limited (PHL) (Not Available / 100% / Australia),Purchase agreements or transmission fees with public entity(ies),,No,No,,,Banco do Nordeste do Brasil (BNB) (Not Available / Not Available / $Not Available),Yes,No,KS,32
2864,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,December,Pacific Hydro Wind Farm Project,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,State of Paraiba,Not Available,National,Not Available,,Not Available,,,2009,100,Not Available,125,125,MW,48,Wind,,,License scheme,,Pacific Hydro Pty Limited (PHL) (Not Available / 100% / Australia),Purchase agreements or transmission fees with public entity(ies),,No,No,,,Banco do Nordeste do Brasil (BNB) (Not Available / Not Available / $Not Available),Yes,No,IN,1
2865,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,June,Rialma Small Hydro Power Plants,"PCH Santa Edwiges II, PCH Santa Edwiges III, PCH Pontal do Prata and PCH Santo Antonio do Caiapo",Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Not Available,30,National,Not Available,,Not Available,,,2005,100,Not Available,19.7,19.7,MW,13,"Hydro, Small (<50MW)",,,License scheme,,Grupo Rialma (Not Available / 100% / Brazil),PPA/WPA payments,,No,No,,,,Yes,No,IN,40
2866,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,June,Rialma Small Hydro Power Plants,"PCH Santa Edwiges II, PCH Santa Edwiges III, PCH Pontal do Prata and PCH Santo Antonio do Caiapo",Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Not Available,30,National,Not Available,,Not Available,,,2008,100,Not Available,29,29,MW,24.6,"Hydro, Small (<50MW)",,,License scheme,,Grupo Rialma (Not Available / 100% / Brazil),PPA/WPA payments,,No,No,,,,Yes,No,UT,43
2867,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,June,Rialma Small Hydro Power Plants,"PCH Santa Edwiges II, PCH Santa Edwiges III, PCH Pontal do Prata and PCH Santo Antonio do Caiapo",Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,Not Available,30,National,Not Available,,Not Available,,,2012,100,Not Available,Not Available,Not Available,MW,68.8,"Hydro, Small (<50MW)",,,License scheme,,Grupo Rialma (Not Available / 100% / Brazil),PPA/WPA payments,,No,No,,,,Yes,No,UT,48
2868,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,June,Salto Pilao Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Active,12/1/2009,Energy,Electricity,Electricity generation,State of Santa Catarina,35,National,Not Available,,Not Available,,,2005,80,104,205.8,309.8,MW,182.3,"Hydro, Large (>50MW)",,Highest price paid to government,Competitive bidding,Not Available,"Votorantim (Not Available / 60% / Brazil), 
Construcoes e Comercio Camargo Correa (Not Available / 20% / Brazil)",Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,NH,27
2869,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,March,Santa Terezinha Tapejara Cogeneration Project,Usina de Acucar Santa Terezinha co-generation Project; Santa Terezinha Participacoes SA; Parana State Energy Project,Greenfield project,"Build, own, and operate",Active,12/1/2006,Energy,Electricity,Electricity generation,Parana,20,National,Not Available,,Not Available,,,2005,100,0,59.3,59.3,MW,51,Waste,,,License scheme,,Santa Terezinha Participacoes SA (Not Available / 100% / Brazil),Purchase agreements or transmission fees with public entity(ies),,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,OH,39
2870,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,October,Ventos do Sul,"Osorio Wind Farm, Parque Eolico dos Indios ",Greenfield project,"Build, own, and operate",Active,12/1/2006,Energy,Electricity,Electricity generation,"Osorio, Rio Grande do Sul",20,National,Not Available,,Exchange Rate Guarantee,Not Available,,2005,100,0,296.5,296.5,MW,150,Wind,,,License scheme,,"Enercon GmbH (Not Available / 9% / Germany), 
Elecnor (Not Available / 91% / Spain)",Purchase agreements or transmission fees with public entity(ies),,No,No,,,"Banco Santand (Not Available / Not Available / $Not Available), 
Banco do Brasil (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available), 
Banco Regional de Desenvolvimento do Extremo Sul (BRDE) (Not Available / Not Available / $Not Available), 
Banrisul (Not Available / Not Available / $Not Available), 
Caixa Economica Estadual do Rio Grande do Sul (Not Available / Not Available / $Not Available)",Yes,No,KY,9
2871,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2005,November,Volta Grande Thermal Power Plant,UTE Volta Grande; Usina Caete - Filial Volta Grande,Greenfield project,"Build, own, and operate",Active,10/1/2006,Energy,Electricity,Electricity generation,Minas Gerais,30,National,Not Applicable,,Not Available,,12.2,2005,100,0,48.2,48.2,MW,34,Biomass,,,License scheme,,Carlos Lyra Group ($12.2 / 100% / Brazil),Purchase agreements or transmission fees with public entity(ies),,No,No,36,75:25:00,BNDES (Public / Local / $36),Yes,Yes,RI,30
2872,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Apertadinho Small Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Distressed,12/1/2008,Energy,Electricity,Electricity generation,State of Rondonia,30,National,Not Available,,Not Available,,,2006,100,Not Available,74.3,74.3,MW,30,"Hydro, Small (<50MW)",,,License scheme,,Companhia Energtica Serra da Carioca (Not Available / 100% / Brazil),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,,Yes,No,NE,40
2873,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Arcadis Logos Energia,"PCH Jose Gelasio da Rocha, PCH Rondonopolis",Greenfield project,"Build, operate, and transfer",Active,7/1/2008,Energy,Electricity,Electricity generation,State of Mato Grosso,30,National,Not Available,,Not Available,,,2006,100,Not Available,42.8,42.8,MW,50.3,"Hydro, Large (>50MW)",Arcadis Logos Energia,,License scheme,,SUEZ (Not Available / 100% / France),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,,Yes,No,HI,9
2874,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,ATE II Transmissora de Energia ,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity transmission,From central Brazil (state of Tocantins) to northeast Brazil (state of Bahia),30,National,Not Available,,Not Available,,,2006,100,0,440.6,440.6,KM,922,,ATE II Transmissora de Energia,Highest price paid to government,Competitive bidding,14,Abengoa (Not Available / 100% / Spain),Purchase agreements or transmission fees with public entity(ies),,"IADB (Loan / $120 Million / 2006), 
IADB (Loan / $.. Million / 2006)",No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,NY,4
2875,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Brasil PCH,,Greenfield project,"Build, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity generation,"States of Rio de Janeiro, Goias, Minas Gerais and Espirito Santo",30,National,Not Available,,Not Available,,,2006,51,Not Available,581.2,581.2,MW,269,"Hydro, Large (>50MW)",,,License scheme,,"Eletroriver SA (Not Available / 35% / Brazil), 
BSB Energetica SA (Not Available / 15% / Brazil), 
Renova Energia S.A. (Not Available / 51% / Brazil)",Purchase agreements or transmission fees with public entity(ies),Sales to wholesale market,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,FL,28
2876,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2006,52.1,535,216.6,751.6,KM,11814,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,NY,19
2877,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2007,58.4,137.1,223.5,360.6,KM,12144,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,VA,26
2878,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2008,58,Not Available,140.1,140.1,KM,12144,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,KY,36
2879,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2009,58,Not Available,130.8,130.8,KM,12271,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,VA,21
2880,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2010,58,Not Available,113,113,KM,12316,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,KS,27
2881,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2011,58,Not Available,62.4,62.4,KM,12993,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,HI,34
2882,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2012,58,Not Available,103.5,103.5,KM,13723,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,VT,30
2883,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2013,58,Not Available,95.6,95.6,KM,13.516,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,NC,15
2884,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2014,58,Not Available,50.5,50.5,KM,13724,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,OR,37
2885,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,June,Companhia de Transmissao de Energia Eletrica Paulista (CTEEP),,Brownfield,"Build, rehabilitate, operate, and transfer",Active,6/1/2006,Energy,Electricity,Electricity transmission,Sao Paulo State,20,National,Not Available,,Not Available,,0,2015,58,Not Applicable,56.5,56.5,KM,18500,Not Applicable,,Highest price paid to government,Competitive bidding,2,Interconexion Electrica SA (ISA) (Not Available / 38% / Colombia),Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,"Morgan Stanley (Not Available / Not Available / $Not Available), 
JP Morgan (Not Available / Not Available / $Not Available), 
UBS (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",No,No,NE,46
2886,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,September,Companhia Transirape de Transmissao,Irape - Aracuai,Greenfield project,"Build, operate, and transfer",Active,9/22/2006,Energy,Electricity,Electricity transmission,State of Minas Gerais,30,National,Not Available,,Not Available,,6.6,2006,51,Not Available,29.7,29.7,KM,65,Not Applicable,,Other,Competitive bidding,2,"Alusa ($5.94 / 41% / Brazil), 
Orteng Equipamentos e Sistemas Ltda ($0.66 / 10% / Brazil)",User fees,,No,No,23.1,77:23:00,BNDES (Public / Local / $23.1),Yes,No,SC,44
2887,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,September,Companhia Transudeste de Transmissao,Itutinga - Juiz de Fora,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity transmission,State of Minas Gerais,30,National,Not Available,,Not Available,,,2006,100,Not Available,35.7,35.7,KM,140,Not Applicable,,Other,Competitive bidding,2,"Alusa (Not Available / 41% / Brazil), 
Orteng Equipamentos e Sistemas Ltda (Not Available / 10% / Brazil)","Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,MO,6
2888,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,October,Cristiano Rocha Thermal Power Plant,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,State of Amazonas,30,National,Not Available,,Not Available,,,2006,100,Not Available,100,100,MW,85.4,Diesel,,,License scheme,,"Bolognesi Group (Not Available / 55% / Brazil), 
Multiner (Not Available / 45% / Brazil)",PPA/WPA payments,,No,No,,,,Yes,No,ND,12
2889,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,October,Cristiano Rocha Thermal Power Plant,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,State of Amazonas,30,National,Not Available,,Not Available,,,2012,100,Not Available,62,62,MW,135.4,Diesel,,,License scheme,,"Bolognesi Group (Not Available / 55% / Brazil), 
Multiner (Not Available / 45% / Brazil)",PPA/WPA payments,,No,No,,,,Yes,No,ID,13
2890,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Cuiaba ? Itumbiara Transmission Line,Itumbiara Transmissora de Energia,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity transmission,Mato Grasso and Minas Gerais,30,National,Not Available,,Not Available,,,2006,100,59.3,361.5,420.8,KM,811,,"Cuiaba ? Itumbiara Transmission Line, Cuiaba ? Itumbiara Transmission Line",Highest price paid to government,Competitive bidding,Not Available,State Grid Corporation of China (SGCC) (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,MIGA (Guarantee / $36 Million / 2006),No,,,"Banco Santand (Not Available / Not Available / $Not Available), 
BNP Paribas (Not Available / Not Available / $Not Available), 
Banco Bradesco (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available)",Yes,No,UT,16
2891,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,January,Eldorado Thermal Power Plant - Phase 1,UTE Eldorado,Greenfield project,"Build, own, and operate",Active,1/2/2006,Energy,Electricity,Electricity generation,State of Mato Grosso do Sul,30,National,Not Available,,Not Available,,0,2006,100,Not Available,15.4,15.4,MW,25,Waste,Eldorado Thermal Power Plant - Phase 1,,License scheme,,Odebrecht SA (Not Available / 66% / Brazil),Purchase agreements or transmission fees with public entity(ies),Sales to wholesale market,No,No,,,,Yes,Yes,MT,47
2892,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,July,Energetica Serra da Prata (ESPRA),"Cachoeira da Lixa, Colino I e Colino II",Greenfield project,"Build, operate, and transfer",Active,1/1/2008,Energy,Electricity,Electricity generation,State of Bahia,30,National,Not Available,,Not Available,,,2006,100,Not Available,86.7,86.7,MW,41.8,"Hydro, Small (<50MW)",,,License scheme,,Renova Energia S.A. (Not Available / 100% / Brazil),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,Banco do Nordeste do Brasil (BNB) (Not Available / Not Available / $Not Available),Yes,No,LA,2
2893,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,October,Geraoeste,,Greenfield project,"Build, operate, and transfer",Active,3/1/2009,Energy,Electricity,Electricity generation,State of Mato Grosso,30,National,Not Available,,Not Available,,,2006,100,Not Available,108.2,108.2,MW,51.1,"Hydro, Large (>50MW)",,,License scheme,,Eletroeste - Cetrais Eletricas Ltda (Not Available / 100% / Brazil),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,Banco da Amazonia (Not Available / Not Available / $Not Available),Yes,No,SC,32
2894,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Itaenga Thermal Power Plant,,Greenfield project,"Build, own, and operate",Active,2/1/2007,Energy,Electricity,Electricity generation,State of Pernambuco,30,National,Not Available,,Not Available,,,2006,100,Not Available,12,12,MW,22,"Diesel, Waste",,,License scheme,,Petribu (Not Available / 100% / Brazil),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,RI,38
2895,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Itaenga Thermal Power Plant,,Greenfield project,"Build, own, and operate",Active,2/1/2007,Energy,Electricity,Electricity generation,State of Pernambuco,30,National,Not Available,,Not Available,,,2009,100,Not Available,32.3,32.3,MW,48,"Diesel, Waste",,,License scheme,,Petribu (Not Available / 100% / Brazil),"Purchase agreements or transmission fees with public entity(ies), 
Public purchase agreements or transmission fees with private entity(ies)",Sales to wholesale market,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,MS,2
2896,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,July,Lagoa Grande Small Hydro Power Plant,Lagoa Grande Energetica ,Greenfield project,"Build, operate, and transfer",Active,1/1/2008,Energy,Electricity,Electricity generation,State of Tocantins,30,National,Not Available,,Not Available,,,2006,100,Not Available,45.8,45.8,MW,25.6,"Hydro, Small (<50MW)",,,License scheme,,"Small local investors (Not Available / 8% / ..), 
CR3 Agropecuaria e Participacoes Ltda (Not Available / 25% / Brazil), 
Energetica Sao Patricio (Not Available / 25% / Brazil), 
Maua Empresa Brasileira de Participacoes Societarias Estruturadas Ltda (Not Available / 14% / Brazil)",Purchase agreements or transmission fees with public entity(ies),,No,No,,,Caixa Economica Federal (Not Available / Not Available / $Not Available),Yes,No,OK,8
2897,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,May,Mosquitao Small Hydro Power Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Caiapo River, State of Goias",30,National,Not Available,,Not Available,,,2006,100,Not Available,50,50,MW,30,"Hydro, Small (<50MW)",,,License scheme,,"Ilcalopes Empreendimentos e Participacoes (Not Available / 60% / Brazil), 
JRF Empreendimentos Ltda (Not Available / 20% / Brazil), 
Triton Energia Ltda (Not Available / 20% / Brazil)",PPA/WPA payments,,No,No,,,,Yes,No,OK,18
2898,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,January,Ponta Negra Thermal Power Plant,GERA - Geradora de Energia do Amazonas S/A,Greenfield project,"Build, own, and operate",Active,12/1/2006,Energy,Electricity,Electricity generation,State of Amazonas,30,National,Not Available,,Not Available,,,2006,100,Not Available,105.5,105.5,MW,85.4,"Diesel, Natural Gas",,,License scheme,,"Grupo Servtec (Not Available / 50% / Brazil), 
FIP Brasil Energia (Not Available / 50% / Brazil)",Purchase agreements or transmission fees with public entity(ies),Public purchase agreements or transmission fees with private entity(ies),No,No,,,Banco da Amazonia (Not Available / Not Available / $Not Available),Yes,No,KS,15
2899,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,October,Porto Franco Small Hydro Power Plant,Porto Franco Energetica,Greenfield project,"Build, operate, and transfer",Active,1/1/2009,Energy,Electricity,Electricity generation,State of Tocantins,30,National,Not Available,,Not Available,,,2006,100,Not Available,60,60,MW,30,"Hydro, Small (<50MW)",,,License scheme,,"Small local investors (Not Available / 15% / ..), 
Crema Participacoes e Investimentos (Not Available / 85% / Brazil)",Purchase agreements or transmission fees with public entity(ies),,No,No,,,Banco da Amazonia (Not Available / Not Available / $Not Available),Yes,No,CT,32
2900,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,December,Porto Primavera - Dourados - Imbirissu Transmission Line,,Greenfield project,"Build, operate, and transfer",Active,7/1/2011,Energy,Electricity,Electricity transmission,Southeastern Sao Paolo state and central-western Matto Grasso do Sul,Not Available,National,Not Available,,Not Available,,,2006,100,0,170.2,170.2,KM,490,,"Porto Primavera - Dourados - Imbirissu Transmission Line, Porto Primavera - Dourados - Imbirissu Transmission Line",Lowest tariff,Competitive bidding,Not Available,State Grid Corporation of China (SGCC) (Not Available / 100% / China),Purchase agreements or transmission fees with public entity(ies),,MIGA (Guarantee / $21 Million / 2006),No,,,"Banco Santand (Not Available / Not Available / $Not Available), 
BNP Paribas (Not Available / Not Available / $Not Available), 
Banco Bradesco (Not Available / Not Available / $Not Available), 
BNDES (Not Available / Not Available / $Not Available)",Yes,No,CA,31
2901,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,April,Rio do Fogo Wind Farm ,,Greenfield project,"Build, own, and operate",Active,,Energy,Electricity,Electricity generation,Rio Grande do Norte state,20,National,Not Available,,Not Available,,,2006,100,0,93,93,MW,49,Wind,,,License scheme,,Iberdrola SA (Not Available / 100% / Spain),Purchase agreements or transmission fees with public entity(ies),,IFC (Equity / $6 Million / 2006),No,,,"BNDES (Not Available / Not Available / $Not Available), 
ABN AMRO (Not Available / Not Available / $Not Available)",Yes,No,NY,3
2902,Latin America and the Caribbean,Brazil,Upper middle income,Non-IDA,2006,October,Santa Rosa II Hydroelectric Plant,,Greenfield project,"Build, operate, and transfer",Active,,Energy,Electricity,Electricity generation,"Rio de Janeiro state, between the cities of Bom Jardim and Coreiro",Not Available,National,Not Available,,Not Available,,,2006,100,0,50,50,MW,30,"Hydro, Small (<50MW)",,Lowest tariff,Competitive bidding,Not Available,Engevic Engenharia S.A. (Not Available / 100% / Brazil),Purchase agreements or transmission fees with public entity(ies),,No,No,,,BNDES (Not Available / Not Available / $Not Available),Yes,No,PA,22
